game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,hit_rate,flag_count,flags,floor_10th,floor_safe,expected_total,combined_gpg,buffer,game_time_parsed,game_key,game_date,actual_total,result
Calgary Flames @ Buffalo Sabres,2025-11-19 19:30:00-05:00,3.5,-875,50.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (3.01 GPG) | Good pace (30.1 shots/game) | CGY cold | BUF cold | Strong buffer (2.5 goals) | CGY 1 day rest | BUF 2 days rest,,,,,,,,,2025-11-20 00:30:00+00:00,2025-11-20_Calgary Flames @ Buffalo Sabres,2025-11-20,,PENDING
Calgary Flames @ Vancouver Canucks,2025-11-23 21:10:00-05:00,3.5,-800,49.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.81 GPG) | Average pace (28.1 shots/game) | CGY cold | VAN warm | Strong buffer (2.1 goals) | CGY 1 day rest | VAN 3 days rest,,,,,,,,,2025-11-24 02:10:00+00:00,2025-11-24_Calgary Flames @ Vancouver Canucks,2025-11-24,,PENDING
Boston Bruins @ Los Angeles Kings,2025-11-21 22:40:00-05:00,3.5,-700,49.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.88 GPG) | Average pace (28.8 shots/game) | BOS warm | LAK cold | Strong buffer (2.3 goals) | BOS 2 days rest | LAK 1 day rest,,,,,,,,,2025-11-22 03:40:00+00:00,2025-11-22_Boston Bruins @ Los Angeles Kings,2025-11-22,,PENDING
Vancouver Canucks @ Florida Panthers,2025-11-17 19:10:00-05:00,3.5,-935,49.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.98 GPG) | Average pace (29.8 shots/game) | VAN neutral | FLA neutral | Strong buffer (2.5 goals) | VAN 1 day rest | FLA 2 days rest,,,,,,,,,2025-11-18 00:10:00+00:00,2025-11-18_Vancouver Canucks @ Florida Panthers,2025-11-18,,PENDING
New York Islanders @ Detroit Red Wings,2025-11-20 19:10:00-05:00,3.5,-850,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.82 GPG) | Average pace (28.2 shots/game) | NYI neutral | DET cold | Strong buffer (2.1 goals) | NYI 2 days rest | DET 2 days rest,,,,,,,,,2025-11-21 00:10:00+00:00,2025-11-21_New York Islanders @ Detroit Red Wings,2025-11-21,,PENDING
Florida Panthers @ Nashville Predators,2025-11-24 20:10:00-05:00,3.5,-725,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.84 GPG) | Average pace (28.4 shots/game) | FLA neutral | NSH cold | Strong buffer (2.2 goals) | FLA 2 days rest | NSH 2 days rest,,,,,,,,,2025-11-25 01:10:00+00:00,2025-11-25_Florida Panthers @ Nashville Predators,2025-11-25,,PENDING
St Louis Blues @ New York Islanders,2025-11-22 15:40:00-05:00,3.5,-825,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.91 GPG) | Average pace (29.1 shots/game) | STL cold | NYI neutral | Strong buffer (2.3 goals) | STL 2 days rest | NYI 2 days rest,,,,,,,,,2025-11-22 20:40:00+00:00,2025-11-22_St Louis Blues @ New York Islanders,2025-11-22,,PENDING
Los Angeles Kings @ San Jose Sharks,2025-11-20 22:10:00-05:00,3.5,-675,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.80 GPG) | Average pace (28.0 shots/game) | LAK cold | SJS neutral | Strong buffer (2.1 goals) | LAK 3 days rest | SJS 2 days rest,,,,,,,,,2025-11-21 03:10:00+00:00,2025-11-21_Los Angeles Kings @ San Jose Sharks,2025-11-21,,PENDING
Montréal Canadiens @ Utah Mammoth,2025-11-26 21:40:00-05:00,3.5,-975,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.96 GPG) | Average pace (29.6 shots/game) | MTL neutral | UTA cold | Strong buffer (2.4 goals) | MTL 4 days rest | UTA 2 days rest,,,,,,,,,2025-11-27 02:40:00+00:00,2025-11-27_Montréal Canadiens @ Utah Mammoth,2025-11-27,,PENDING
Ottawa Senators @ Montréal Canadiens,2025-12-02 19:10:00-05:00,3.5,-900,48.0,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.98 GPG) | Average pace (29.8 shots/game) | OTT cold | MTL neutral | Strong buffer (2.5 goals) | OTT 2 days rest | MTL 3 days rest,,,,,,,,,2025-12-03 00:10:00+00:00,2025-12-03_Ottawa Senators @ Montréal Canadiens,2025-12-03,,PENDING
