game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,source_file,game_time_parsed,game_key,game_date,actual_total,result
Toronto Maple Leafs @ Boston Bruins,2025-11-11 19:10:00-05:00,3.5,-975,54,NO,True,"Anthony Stolarz (TOR) - 92.2% Sv%, 2.15 GAA",SKIP,0.0,Average offense (2.99 GPG) | Average pace (29.9 shots/game) | TOR neutral | BOS warm | Strong buffer (2.5 goals) | TOR 2 days rest | BOS 3 days rest,2025-11-11_11-36_decisions.csv,2025-11-12 00:10:00+00:00,2025-11-12_Toronto Maple Leafs @ Boston Bruins,2025-11-12,,PENDING
Boston Bruins @ Montréal Canadiens,2025-11-15 19:00:00-05:00,3.5,-935,54,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.85 GPG) | Average pace (28.5 shots/game) | BOS warm | MTL neutral | Strong buffer (2.2 goals) | BOS 2 days rest | MTL 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 00:00:00+00:00,2025-11-16_Boston Bruins @ Montréal Canadiens,2025-11-16,,PENDING
New Jersey Devils @ Chicago Blackhawks,2025-11-12 21:40:00-05:00,3.5,-875,54,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.85 GPG) | Average pace (28.5 shots/game) | NJD neutral | CHI warm | Strong buffer (2.2 goals) | NJD 2 days rest | CHI 3 days rest,2025-11-12_08-45_decisions.csv,2025-11-13 02:40:00+00:00,2025-11-13_New Jersey Devils @ Chicago Blackhawks,2025-11-13,,PENDING
Winnipeg Jets @ Calgary Flames,2025-11-15 22:00:00-05:00,3.5,-700,52,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (3.06 GPG) | Good pace (30.6 shots/game) | WPG cold | CGY cold | Strong buffer (2.6 goals) | WPG 2 days rest | CGY 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 03:00:00+00:00,2025-11-16_Winnipeg Jets @ Calgary Flames,2025-11-16,,PENDING
New York Islanders @ Utah Mammoth,2025-11-14 21:10:00-05:00,3.5,-1150,52,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.84 GPG) | Average pace (28.4 shots/game) | NYI neutral | UTA warm | Strong buffer (2.2 goals) | NYI 1 day rest | UTA 2 days rest,2025-11-14_08-55_decisions.csv,2025-11-15 02:10:00+00:00,2025-11-15_New York Islanders @ Utah Mammoth,2025-11-15,,PENDING
Philadelphia Flyers @ St Louis Blues,2025-11-14 20:10:00-05:00,3.5,-630,52,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (3.00 GPG) | Good pace (30.0 shots/game) | PHI cold | STL cold | Strong buffer (2.5 goals) | PHI 2 days rest | STL 3 days rest,2025-11-14_08-48_decisions.csv,2025-11-15 01:10:00+00:00,2025-11-15_Philadelphia Flyers @ St Louis Blues,2025-11-15,,PENDING
Calgary Flames @ St Louis Blues,2025-11-11 20:10:00-05:00,3.5,-725,45,NO,False,No elite goalie concerns,SKIP,0.0,Average offense (2.92 GPG) | Average pace (29.2 shots/game) | CGY cold | STL cold | Strong buffer (2.3 goals) | CGY 2 days rest | STL 3 days rest,2025-11-11_12-19_decisions.csv,2025-11-12 01:10:00+00:00,2025-11-12_Calgary Flames @ St Louis Blues,2025-11-12,,PENDING
Anaheim Ducks @ Detroit Red Wings,2025-11-13 19:10:00-05:00,3.5,-1150,35,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.80 GPG) | Slow pace (28.0 shots/game) | ANA hot | DET cold | Strong buffer (2.1 goals) | ANA 2 days rest | DET 4 days rest,2025-11-13_08-47_decisions.csv,2025-11-14 00:10:00+00:00,2025-11-14_Anaheim Ducks @ Detroit Red Wings,2025-11-14,,PENDING
Anaheim Ducks @ Minnesota Wild,2025-11-15 18:00:00-05:00,3.5,-1050,33,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.74 GPG) | Slow pace (27.4 shots/game) | ANA hot | MIN neutral | Good buffer (2.0 goals) | ANA 2 days rest | MIN 4 days rest,2025-11-15_08-37_decisions.csv,2025-11-15 23:00:00+00:00,2025-11-15_Anaheim Ducks @ Minnesota Wild,2025-11-15,,PENDING
San Jose Sharks @ Minnesota Wild,2025-11-11 20:10:00-05:00,3.5,-1200,33,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.67 GPG) | Slow pace (26.7 shots/game) | SJS hot | MIN neutral | Good buffer (1.8 goals) | SJS 3 days rest | MIN 2 days rest,2025-11-11_12-19_decisions.csv,2025-11-12 01:10:00+00:00,2025-11-12_San Jose Sharks @ Minnesota Wild,2025-11-12,,PENDING
Pittsburgh Penguins @ Nashville Predators,2025-11-14 14:15:00-05:00,3.5,-920,31,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | PIT neutral | NSH neutral | Strong buffer (2.1 goals) | PIT 5 days rest | NSH 4 days rest,2025-11-14_08-55_decisions.csv,2025-11-14 19:15:00+00:00,2025-11-14_Pittsburgh Penguins @ Nashville Predators,2025-11-14,,PENDING
San Jose Sharks @ Seattle Kraken,2025-11-15 22:00:00-05:00,3.5,-825,31,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | SJS warm | SEA cold | Strong buffer (2.1 goals) | SJS 2 days rest | SEA 2 days rest,2025-11-15_08-37_decisions.csv,2025-11-16 03:00:00+00:00,2025-11-16_San Jose Sharks @ Seattle Kraken,2025-11-16,,PENDING
San Jose Sharks @ Calgary Flames,2025-11-13 21:10:00-05:00,3.5,-900,26,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.65 GPG) | Slow pace (26.5 shots/game) | SJS warm | CGY cold | Good buffer (1.8 goals) | SJS 2 days rest | CGY 2 days rest,2025-11-13_08-47_decisions.csv,2025-11-14 02:10:00+00:00,2025-11-14_San Jose Sharks @ Calgary Flames,2025-11-14,,PENDING
New York Islanders @ Vegas Golden Knights,2025-11-13 22:10:00-05:00,3.5,-950,16,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | NYI warm | VGK no stats | Missing team stats | NYI 3 days rest | VGK 3 days rest,2025-11-13_08-47_decisions.csv,2025-11-14 03:10:00+00:00,2025-11-14_New York Islanders @ Vegas Golden Knights,2025-11-14,,PENDING
Vegas Golden Knights @ St Louis Blues,2025-11-15 20:00:00-05:00,3.5,-750,8,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | STL cold | Missing team stats | VGK 2 days rest | STL 1 day rest,2025-11-15_08-37_decisions.csv,2025-11-16 01:00:00+00:00,2025-11-16_Vegas Golden Knights @ St Louis Blues,2025-11-16,,PENDING
